"VisitID","D16","D50","D84","D16_cm.org","D50_cm.org","D84_cm.org"
1075,5.39446151353999,33.2940442350983,61.3285731110704,6,34,62
1078,6.22516389313552,21.4304222091521,77.1302484375741,6,22,79
1079,19.5289826134671,51.2352602420469,103.877650505529,20,52,105
1080,20.7794760717268,90,296.326952180437,22,91,300
1081,6.1591960563135,33.9843259940353,84.0678619412043,6,34,85
1082,2.46228882668983,18.5635085422524,40.9459150318624,3,19,42
1084,3.12627446939344,38.5997394185624,111.179056859452,3,39,116
1085,8.20992370497543,33.3254843885216,64.5154600259914,9,34,66
1086,16.9997373384387,80.3319540098603,283.14744719868,18,81,288
1087,25.0706377011594,54.1653686567299,107.180152269006,25,55,109
1088,25.7970404719121,65.6166143351091,125.955510215288,26,66,127
1089,40.4407858256071,67.8622449232354,108.899252741494,41,68,110
1090,11.9882421081671,86.5283397301739,332.770408211736,12,89,336
1091,10.6556612578972,58.6054640237553,166.311391360433,11,60,172
1092,6.98560354568619,109.23821942424,347.813799312406,6,111,352
1093,42.0339309706021,163.611940351411,390.148400590051,44,166,396
1095,56.8568646947434,125.213023750258,358.878016070268,58,127,365
1096,14.414763483402,66.3384781112227,172.56032621161,15,67,175
1097,19.6316816982371,55.5895284297261,132.786879713592,20,56,136
1098,16.725076475767,39.5538581495825,88.2636317295373,17,40,89
1101,13.1263049974501,51.2036101731029,121.134328660889,13,52,123
1103,50.9039079450912,116.524875322626,306.773622517888,52,117,313
1105,28.6991561337093,146.701645038317,350.928210502339,30,148,355
1106,25.8312702160478,139.388069590171,359.05340921941,27,143,362
1107,25.2288202595106,102.167036236277,199.591921912162,26,103,204
1108,24.3046670509594,73.5362954717219,198.890154669926,25,74,205
1109,33.1097751817982,110.204365651243,271.531130767651,34,111,276
1110,23.6827609064027,90,189.098441506305,24,91,196
1113,18.1304915598345,43.8352096481881,101.893229817598,18,44,104
1114,13.5777677639038,64.9156255242499,223.681092525456,14,66,228
1115,11.4582977926237,47.9212493162098,147.957351009701,12,49,154
1116,11.6999120580613,49.1421755287632,126.82927625038,12,50,129
1120,9.02164990572819,54.140271632895,297.758174003685,9,55,301
1121,0.0266771409007807,56.3060994424343,154.553855055358,0.04,57,158
1123,10.9164039482505,61.888740500029,170.854981892486,12,63,174
1125,11.4029877442127,24.9838480916498,53.5756967090187,12,25,54
1126,0.00493563433506029,6.42440834145102,19.3251933805195,0.02,7,20
1128,11.946621098859,65.8443505813227,158.247832220072,12,67,160
1129,0.0235314831498997,15.6074266042124,36.9707973289715,0.04,16,37
1130,14.4985603248923,33.4391185978981,118.247588078162,15,34,121
1131,10.431440245086,26.0813557353633,78.842322209689,11,26,80
1132,0.991868839282566,17.1290189467066,41.2765450043748,2,17,42
1133,0.00204388712045114,0.832358290057563,11.1774301848651,0.02,0.92,11
1135,0.552893039317118,13.3529856501633,56.6296540923655,0.74,14,58
1136,3.10540752899208,18.46979617817,63.2920879073263,3,19,65
1138,12.3203502577174,31.3200678459072,78.8844973194728,13,32,82
1141,6.8682038697633,22.5,52.5149385595132,7,23,53
1142,9.39041164646723,19.4056844419151,34.0639319490485,10,20,35
1145,0.00210491451443204,16,38.8638323065992,0.02,16,40
1146,0.00115574394501807,0.0538782043939129,21.2089098105226,0.02,0.05,22
1147,0.0167397096906553,27.2295141499445,71.7883001812882,0.04,28,73
